09-04 19:34:43.407 I/RyzeBridge(18241): SCRIPT connect;write b2fa;until b2fd 40000;write f7fa000000000000;until f7fd 40000;write 34fa;until 34fafd 40000;write 3101;until 3102 40000;status
09-04 19:34:43.407 I/RyzeBridge(18241): STATE already connected
09-04 19:34:43.409 I/RyzeBridge(18241): TX 33F1 b2fa
09-04 19:34:43.891 I/RyzeBridge(18241): RX 33F2 b207ea09031400840000000000062a010084
09-04 19:34:43.891 I/RyzeBridge(18241): RX 33F2 b207ea09031500210000000000303a000021
09-04 19:34:44.205 I/RyzeBridge(18241): RX 33F2 b207ea090316007200000000001630000072
09-04 19:34:44.205 I/RyzeBridge(18241): RX 33F2 b207ea090317007700000000000522000077
09-04 19:34:44.206 I/RyzeBridge(18241): RX 33F2 b207ea090402003e0000000000081500003e
09-04 19:34:44.206 I/RyzeBridge(18241): RX 33F2 b207ea090409010800000000000d31030108
09-04 19:34:44.208 I/RyzeBridge(18241): RX 33F2 b207ea09040c007100000000002a2e000071
09-04 19:34:44.209 I/RyzeBridge(18241): RX 33F2 b207ea09040d022c00000000000f2e07022c
09-04 19:34:44.519 I/RyzeBridge(18241): RX 33F2 b207ea09040e00ed00000000000d370100ed
09-04 19:34:44.521 I/RyzeBridge(18241): RX 33F2 b207ea09040f00500000000000283b000050
09-04 19:34:44.522 I/RyzeBridge(18241): RX 33F2 b207ea09041000c000000000000b110200c0
09-04 19:34:44.525 I/RyzeBridge(18241): RX 33F2 b207ea09041101a00000000000071d0301a0
09-04 19:34:44.526 I/RyzeBridge(18241): RX 33F2 b207ea090413001500000000001317000015
09-04 19:34:44.834 I/RyzeBridge(18241): RX 33F2 b2fdf2
09-04 19:34:44.835 I/RyzeBridge(18241): UNTIL b2fd ok
09-04 19:34:44.840 I/RyzeBridge(18241): TX 33F1 f7fa000000000000
09-04 19:34:45.470 I/RyzeBridge(18241): RX 33F2 f707ea090314ffffffffffffffffffffff56
09-04 19:34:45.470 I/RyzeBridge(18241): RX 33F2 f707ea09031654596f929564776c5e6566ff
09-04 19:34:45.471 I/RyzeBridge(18241): RX 33F2 f707ea090400ff5957595751575855504f47
09-04 19:34:45.471 I/RyzeBridge(18241): RX 33F2 f707ea09040246474a534c48494847474440
09-04 19:34:45.781 I/RyzeBridge(18241): RX 33F2 f707ea09040441463d3e3d413a44413c423f
09-04 19:34:45.781 I/RyzeBridge(18241): RX 33F2 f707ea090406403d413b3e3f423e333f3a41
09-04 19:34:45.782 I/RyzeBridge(18241): RX 33F2 f707ea0904083d383c3a3e41423e3e3f4543
09-04 19:34:45.782 I/RyzeBridge(18241): RX 33F2 f707ea09040a414448483f42586f50545554
09-04 19:34:46.439 I/RyzeBridge(18241): RX 33F2 f707ea09040effffff585a576d6e56535554
09-04 19:34:46.439 I/RyzeBridge(18241): RX 33F2 f707ea0904105f51545955596161665e625b
09-04 19:34:46.440 I/RyzeBridge(18241): RX 33F2 f707ea090412789a68766971736962595c59
09-04 19:34:46.440 I/RyzeBridge(18241): RX 33F2 f707ea09041460625c625cff595cffffffff
09-04 19:34:46.442 I/RyzeBridge(18241): RX 33F2 f7fd03
09-04 19:34:46.442 I/RyzeBridge(18241): UNTIL f7fd ok
09-04 19:34:46.442 I/RyzeBridge(18241): CONNPARAMS interval=36 latency=0 timeout=500 status=0
09-04 19:34:46.447 I/RyzeBridge(18241): TX 33F1 34fa
09-04 19:34:46.616 I/RyzeBridge(18241): RX 33F2 34fa07ea09031600ffff63ffffffffffffff61ff
09-04 19:34:46.660 I/RyzeBridge(18241): RX 33F2 34fa07ea09040000ffff616061616060606061ff
09-04 19:34:46.751 I/RyzeBridge(18241): RX 33F2 34fa07ea090402006060605c5c61605d61606061
09-04 19:34:46.795 I/RyzeBridge(18241): RX 33F2 34fa07ea09040400606161606160606361606162
09-04 19:34:46.887 I/RyzeBridge(18241): RX 33F2 34fa07ea090406006160616061605c615c60615c
09-04 19:34:46.977 I/RyzeBridge(18241): RX 33F2 34fa07ea090408005d6160606061636061606160
09-04 19:34:47.020 I/RyzeBridge(18241): RX 33F2 34fa07ea09040a00ff6060616161616060606260
09-04 19:34:47.111 I/RyzeBridge(18241): RX 33F2 34fa07ea09040c0060ffffffffffffffffffffff
09-04 19:34:47.157 I/RyzeBridge(18241): RX 33F2 34fa07ea09040e00ffffffff6160626161ff6261
09-04 19:34:47.247 I/RyzeBridge(18241): RX 33F2 34fa07ea09041000ff60606260ffffffffff5c61
09-04 19:34:47.291 I/RyzeBridge(18241): RX 33F2 34fa07ea0904120062ffffffffff60ff60ffffff
09-04 19:34:47.381 I/RyzeBridge(18241): RX 33F2 34fa07ea09041400ffffff626261626160ffffff
09-04 19:34:47.424 I/RyzeBridge(18241): RX 33F2 34fafd98
09-04 19:34:47.424 I/RyzeBridge(18241): UNTIL 34fafd ok
09-04 19:34:47.429 I/RyzeBridge(18241): TX 33F1 3101
09-04 19:34:47.560 I/RyzeBridge(18241): RX 33F2 310107ea09041e
09-04 19:34:47.566 I/RyzeBridge(18241): RX 34F2 32173a0101001700150201001e00330401000400370201001501100301000101110201000301140401000501190201002b02080301000102090201000a021303010006021902010003021c0401000502210201001702380401000503010201001103120401000203140201002c04040101001e042202010038051e0401000905270201003e062903010001062a02010001062b01010002062d04010005063202010030072604010003072901010013080004010008
09-04 19:34:47.605 I/RyzeBridge(18241): RX 33F2 3102
09-04 19:34:47.605 I/RyzeBridge(18241): UNTIL 3102 ok
09-04 19:34:47.605 I/RyzeBridge(18241): STATUS connected=true mtu=247
09-04 19:34:47.605 I/RyzeBridge(18241): DONE
