09-05 07:40:34.766 I/RyzeBridge(19457): SCRIPT connect;write c50003f00053004d00530020004a0061006e0065;until c500 3000;write c501003a002000520075006e006e0069006e;until c501 3000;write c50200670020006c006100740065002c0020;until c502 3000;write c5030074006800650020003100320030002d;until c503 3000;write c50400630068006100720061006300740065;until c504 3000;write c50500720020006c0069006d006900740020;until c505 3000;write c50600740065007300740020006900730020;until c506 3000;write c507006e006f00770020006200650069006e;until c507 3000;write c5080067002000730065006e007400200074;until c508 3000;write c509006f00200079006f0075007200200077;until c509 3000;write c50a007200690073007400200074006f0020;until c50a 3000;write c50b00730065006500200068006f00770020;until c50b 3000;write c50c00740068006500200077006100740063;until c50c 3000;write c50d00680020007700720061007000730020;until c50d 3000;write c50e006c006f006e00670020007400650078;until c50e 3000;write c5fd;until c5fd 3000;status
09-05 07:40:34.766 I/RyzeBridge(19457): STATE already connected
09-05 07:40:34.769 I/RyzeBridge(19457): TX 33F1 c50003f00053004d00530020004a0061006e0065
09-05 07:40:35.131 I/RyzeBridge(19457): RX 33F2 c500
09-05 07:40:35.132 I/RyzeBridge(19457): UNTIL c500 ok
09-05 07:40:35.134 I/RyzeBridge(19457): TX 33F1 c501003a002000520075006e006e0069006e
09-05 07:40:35.754 I/RyzeBridge(19457): RX 33F2 c501
09-05 07:40:35.755 I/RyzeBridge(19457): UNTIL c501 ok
09-05 07:40:35.758 I/RyzeBridge(19457): TX 33F1 c50200670020006c006100740065002c0020
09-05 07:40:36.374 I/RyzeBridge(19457): RX 33F2 c502
09-05 07:40:36.375 I/RyzeBridge(19457): UNTIL c502 ok
09-05 07:40:36.381 I/RyzeBridge(19457): TX 33F1 c5030074006800650020003100320030002d
09-05 07:40:36.994 I/RyzeBridge(19457): RX 33F2 c503
09-05 07:40:36.995 I/RyzeBridge(19457): UNTIL c503 ok
09-05 07:40:36.999 I/RyzeBridge(19457): TX 33F1 c50400630068006100720061006300740065
09-05 07:40:37.614 I/RyzeBridge(19457): RX 33F2 c504
09-05 07:40:37.615 I/RyzeBridge(19457): UNTIL c504 ok
09-05 07:40:37.619 I/RyzeBridge(19457): TX 33F1 c50500720020006c0069006d006900740020
09-05 07:40:38.234 I/RyzeBridge(19457): RX 33F2 c505
09-05 07:40:38.235 I/RyzeBridge(19457): UNTIL c505 ok
09-05 07:40:38.239 I/RyzeBridge(19457): TX 33F1 c50600740065007300740020006900730020
09-05 07:40:38.854 I/RyzeBridge(19457): RX 33F2 c506
09-05 07:40:38.855 I/RyzeBridge(19457): UNTIL c506 ok
09-05 07:40:38.859 I/RyzeBridge(19457): TX 33F1 c507006e006f00770020006200650069006e
09-05 07:40:39.475 I/RyzeBridge(19457): RX 33F2 c507
09-05 07:40:39.475 I/RyzeBridge(19457): UNTIL c507 ok
09-05 07:40:39.480 I/RyzeBridge(19457): TX 33F1 c5080067002000730065006e007400200074
09-05 07:40:40.094 I/RyzeBridge(19457): RX 33F2 c508
09-05 07:40:40.095 I/RyzeBridge(19457): UNTIL c508 ok
09-05 07:40:40.099 I/RyzeBridge(19457): TX 33F1 c509006f00200079006f0075007200200077
09-05 07:40:40.734 I/RyzeBridge(19457): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-05 07:40:40.764 I/RyzeBridge(19457): RX 33F2 c509
09-05 07:40:40.765 I/RyzeBridge(19457): UNTIL c509 ok
09-05 07:40:40.770 I/RyzeBridge(19457): TX 33F1 c50a007200690073007400200074006f0020
09-05 07:40:40.825 I/RyzeBridge(19457): RX 33F2 c50a
09-05 07:40:40.826 I/RyzeBridge(19457): UNTIL c50a ok
09-05 07:40:40.831 I/RyzeBridge(19457): TX 33F1 c50b00730065006500200068006f00770020
09-05 07:40:40.883 I/RyzeBridge(19457): RX 33F2 c50b
09-05 07:40:40.884 I/RyzeBridge(19457): UNTIL c50b ok
09-05 07:40:40.888 I/RyzeBridge(19457): TX 33F1 c50c00740068006500200077006100740063
09-05 07:40:40.944 I/RyzeBridge(19457): RX 33F2 c50c
09-05 07:40:40.946 I/RyzeBridge(19457): UNTIL c50c ok
09-05 07:40:40.952 I/RyzeBridge(19457): TX 33F1 c50d00680020007700720061007000730020
09-05 07:40:41.003 I/RyzeBridge(19457): RX 33F2 c50d
09-05 07:40:41.004 I/RyzeBridge(19457): UNTIL c50d ok
09-05 07:40:41.008 I/RyzeBridge(19457): TX 33F1 c50e006c006f006e00670020007400650078
09-05 07:40:41.064 I/RyzeBridge(19457): RX 33F2 c50e
09-05 07:40:41.065 I/RyzeBridge(19457): UNTIL c50e ok
09-05 07:40:41.069 I/RyzeBridge(19457): TX 33F1 c5fd
09-05 07:40:41.124 I/RyzeBridge(19457): RX 33F2 c5fd03f0
09-05 07:40:41.124 I/RyzeBridge(19457): UNTIL c5fd ok
09-05 07:40:41.125 I/RyzeBridge(19457): STATUS connected=true mtu=247
09-05 07:40:41.125 I/RyzeBridge(19457): DONE
