09-06 09:32:16.071 I/RyzeBridge(31629): service created
09-06 09:32:16.071 I/RyzeBridge(31629): SCRIPT connect;write ab00000001020701;wait 1500;write c50004a000520079007a00650020006100700070;until c500 3000;write c501003a0020006e00650077002000620075;until c501 3000;write c5020069006c00640020007300740069006c;until c502 3000;write c503006c0020006200750069006c00640069;until c503 3000;write c504006e0067002e002000570069006c006c;until c504 3000;write c505002000620075007a007a002000610067;until c505 3000;write c50600610069006e0020007700680065006e;until c506 3000;write c50700200069006e007300740061006c006c;until c507 3000;write c508006500640020006f006e002000740068;until c508 3000;write c509006500200050006900780065006c002e;until c509 3000;write c5fd;until c5fd 3000;status
09-06 09:32:16.076 I/RyzeBridge(31629): CONNECTING 78:02:B7:37:91:E5
09-06 09:32:16.085 I/RyzeBridge(31629): STATE connected status=0
09-06 09:32:16.087 I/RyzeBridge(31629): SERVICES 11 status=0
09-06 09:32:16.088 I/RyzeBridge(31629): MTU 247 status=0
09-06 09:32:16.725 I/RyzeBridge(31629): NOTIFY 33f2 on
09-06 09:32:17.353 I/RyzeBridge(31629): NOTIFY 34f2 on
09-06 09:32:17.353 I/RyzeBridge(31629): READY mtu=247
09-06 09:32:17.357 I/RyzeBridge(31629): TX 33F1 ab00000001020701
09-06 09:32:17.986 I/RyzeBridge(31629): RX 33F2 ab00
09-06 09:32:19.494 I/RyzeBridge(31629): TX 33F1 c50004a000520079007a00650020006100700070
09-06 09:32:19.873 I/RyzeBridge(31629): RX 33F2 c500
09-06 09:32:19.873 I/RyzeBridge(31629): UNTIL c500 ok
09-06 09:32:19.876 I/RyzeBridge(31629): TX 33F1 c501003a0020006e00650077002000620075
09-06 09:32:20.846 I/RyzeBridge(31629): RX 33F2 c501
09-06 09:32:20.846 I/RyzeBridge(31629): UNTIL c501 ok
09-06 09:32:20.848 I/RyzeBridge(31629): CONNPARAMS interval=36 latency=0 timeout=500 status=0
09-06 09:32:20.851 I/RyzeBridge(31629): TX 33F1 c5020069006c00640020007300740069006c
09-06 09:32:20.936 I/RyzeBridge(31629): RX 33F2 c502
09-06 09:32:20.936 I/RyzeBridge(31629): UNTIL c502 ok
09-06 09:32:20.939 I/RyzeBridge(31629): TX 33F1 c503006c0020006200750069006c00640069
09-06 09:32:21.069 I/RyzeBridge(31629): RX 33F2 c503
09-06 09:32:21.069 I/RyzeBridge(31629): UNTIL c503 ok
09-06 09:32:21.080 I/RyzeBridge(31629): TX 33F1 c504006e0067002e002000570069006c006c
09-06 09:32:21.161 I/RyzeBridge(31629): RX 33F2 c504
09-06 09:32:21.161 I/RyzeBridge(31629): UNTIL c504 ok
09-06 09:32:21.165 I/RyzeBridge(31629): TX 33F1 c505002000620075007a007a002000610067
09-06 09:32:21.249 I/RyzeBridge(31629): RX 33F2 c505
09-06 09:32:21.249 I/RyzeBridge(31629): UNTIL c505 ok
09-06 09:32:21.251 I/RyzeBridge(31629): TX 33F1 c50600610069006e0020007700680065006e
09-06 09:32:21.386 I/RyzeBridge(31629): RX 33F2 c506
09-06 09:32:21.386 I/RyzeBridge(31629): UNTIL c506 ok
09-06 09:32:21.389 I/RyzeBridge(31629): TX 33F1 c50700200069006e007300740061006c006c
09-06 09:32:21.478 I/RyzeBridge(31629): RX 33F2 c507
09-06 09:32:21.478 I/RyzeBridge(31629): UNTIL c507 ok
09-06 09:32:21.483 I/RyzeBridge(31629): TX 33F1 c508006500640020006f006e002000740068
09-06 09:32:21.564 I/RyzeBridge(31629): RX 33F2 c508
09-06 09:32:21.565 I/RyzeBridge(31629): UNTIL c508 ok
09-06 09:32:21.567 I/RyzeBridge(31629): TX 33F1 c509006500200050006900780065006c002e
09-06 09:32:21.654 I/RyzeBridge(31629): RX 33F2 c509
09-06 09:32:21.655 I/RyzeBridge(31629): UNTIL c509 ok
09-06 09:32:21.657 I/RyzeBridge(31629): TX 33F1 c5fd
09-06 09:32:21.745 I/RyzeBridge(31629): RX 33F2 c5fd04a0
09-06 09:32:21.745 I/RyzeBridge(31629): UNTIL c5fd ok
09-06 09:32:21.745 I/RyzeBridge(31629): STATUS connected=true mtu=247
09-06 09:32:21.745 I/RyzeBridge(31629): DONE
