09-06 09:37:55.373 I/RyzeBridge(31629): SCRIPT connect;write ab00000001020701;wait 1500;write c50004ae00520079007a00650020006100700070;until c500 3000;write c501003a0020006200750069006c00640020;until c501 3000;write c50200390020006900730020006f006e0020;until c502 3000;write c50300740068006500200050006900780065;until c503 3000;write c504006c002e00200053006c006500650070;until c504 3000;write c50500200066006900780020002b0020006e;until c505 3000;write c50600690067006800740020006700750061;until c506 3000;write c5070072006400200069006e002e00200047;until c507 3000;write c508006f006f006400200074006f00200067;until c508 3000;write c509006f00200066006f007200200079006f;until c509 3000;write c50a00750072002000720075006e002e;until c50a 3000;write c5fd;until c5fd 3000;status
09-06 09:37:55.374 I/RyzeBridge(31629): STATE already connected
09-06 09:37:55.377 I/RyzeBridge(31629): TX 33F1 ab00000001020701
09-06 09:37:55.488 I/RyzeBridge(31629): RX 33F2 ab00
09-06 09:37:56.990 I/RyzeBridge(31629): TX 33F1 c50004ae00520079007a00650020006100700070
09-06 09:37:57.101 I/RyzeBridge(31629): RX 33F2 c500
09-06 09:37:57.102 I/RyzeBridge(31629): UNTIL c500 ok
09-06 09:37:57.105 I/RyzeBridge(31629): TX 33F1 c501003a0020006200750069006c00640020
09-06 09:37:57.177 I/RyzeBridge(31629): RX 33F2 c501
09-06 09:37:57.177 I/RyzeBridge(31629): UNTIL c501 ok
09-06 09:37:57.182 I/RyzeBridge(31629): TX 33F1 c50200390020006900730020006f006e0020
09-06 09:37:57.250 I/RyzeBridge(31629): RX 33F2 c502
09-06 09:37:57.250 I/RyzeBridge(31629): UNTIL c502 ok
09-06 09:37:57.253 I/RyzeBridge(31629): TX 33F1 c50300740068006500200050006900780065
09-06 09:37:57.362 I/RyzeBridge(31629): RX 33F2 c503
09-06 09:37:57.362 I/RyzeBridge(31629): UNTIL c503 ok
09-06 09:37:57.367 I/RyzeBridge(31629): TX 33F1 c504006c002e00200053006c006500650070
09-06 09:37:57.439 I/RyzeBridge(31629): RX 33F2 c504
09-06 09:37:57.440 I/RyzeBridge(31629): UNTIL c504 ok
09-06 09:37:57.446 I/RyzeBridge(31629): TX 33F1 c50500200066006900780020002b0020006e
09-06 09:37:57.514 I/RyzeBridge(31629): RX 33F2 c505
09-06 09:37:57.514 I/RyzeBridge(31629): UNTIL c505 ok
09-06 09:37:57.517 I/RyzeBridge(31629): TX 33F1 c50600690067006800740020006700750061
09-06 09:37:57.589 I/RyzeBridge(31629): RX 33F2 c506
09-06 09:37:57.590 I/RyzeBridge(31629): UNTIL c506 ok
09-06 09:37:57.593 I/RyzeBridge(31629): TX 33F1 c5070072006400200069006e002e00200047
09-06 09:37:57.665 I/RyzeBridge(31629): RX 33F2 c507
09-06 09:37:57.666 I/RyzeBridge(31629): UNTIL c507 ok
09-06 09:37:57.670 I/RyzeBridge(31629): TX 33F1 c508006f006f006400200074006f00200067
09-06 09:37:57.740 I/RyzeBridge(31629): RX 33F2 c508
09-06 09:37:57.742 I/RyzeBridge(31629): UNTIL c508 ok
09-06 09:37:57.745 I/RyzeBridge(31629): TX 33F1 c509006f00200066006f007200200079006f
09-06 09:37:57.815 I/RyzeBridge(31629): RX 33F2 c509
09-06 09:37:57.816 I/RyzeBridge(31629): UNTIL c509 ok
09-06 09:37:57.819 I/RyzeBridge(31629): TX 33F1 c50a00750072002000720075006e002e
09-06 09:37:57.892 I/RyzeBridge(31629): RX 33F2 c50a
09-06 09:37:57.893 I/RyzeBridge(31629): UNTIL c50a ok
09-06 09:37:57.897 I/RyzeBridge(31629): TX 33F1 c5fd
09-06 09:37:57.964 I/RyzeBridge(31629): RX 33F2 c5fd04ae
09-06 09:37:57.964 I/RyzeBridge(31629): UNTIL c5fd ok
09-06 09:37:57.964 I/RyzeBridge(31629): STATUS connected=true mtu=247
09-06 09:37:57.964 I/RyzeBridge(31629): DONE
