09-15 18:20:27.809 I/RyzeBridge(11673): SCRIPT connect;write ab00000001020701;wait 6000;write fd110101;until fd11 5000;wait 4000;write fd440101000005000000000000;wait 1000;write fd440101000006000000000000;wait 1000;write fd440101000007000000000000;wait 1000;write fd440101000008000000000000;wait 1000;write fd440101000009000000000000;wait 1000;write fd44010100000a000000000000;wait 1000;write fd44010100000b000000000000;wait 1000;write fd44010100000c000000000000;wait 3000;write fd44010100000d000000000000;wait 1000;write fd44010100000e000000000000;wait 1000;write fd44010100000f000000000000;wait 1000;write fd440101000010000000000000;wait 2000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd000101;until fd00 5000;status
09-15 18:20:27.810 I/RyzeBridge(11673): STATE already connected
09-15 18:20:27.812 I/RyzeBridge(11673): TX 33F1 ab00000001020701
09-15 18:20:28.203 I/RyzeBridge(11673): RX 33F2 ab00
09-15 18:20:31.026 I/RyzeBridge(11673): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-15 18:20:34.208 I/RyzeBridge(11673): TX 33F1 fd110101
09-15 18:20:34.266 I/RyzeBridge(11673): RX 33F2 fd110101
09-15 18:20:34.267 I/RyzeBridge(11673): UNTIL fd11 ok
09-15 18:20:38.271 I/RyzeBridge(11673): TX 33F1 fd440101000005000000000000
09-15 18:20:38.314 I/RyzeBridge(11673): RX 33F2 fd440101000005000000000000
09-15 18:20:38.977 I/RyzeBridge(11673): RX 33F2 fd01000000000000000000000000
09-15 18:20:39.318 I/RyzeBridge(11673): TX 33F1 fd440101000006000000000000
09-15 18:20:39.367 I/RyzeBridge(11673): RX 33F2 fd440101000006000000000000
09-15 18:20:40.374 I/RyzeBridge(11673): TX 33F1 fd440101000007000000000000
09-15 18:20:40.447 I/RyzeBridge(11673): RX 33F2 fd440101000007000000000000
