09-15 18:21:41.775 I/RyzeBridge(11673): SCRIPT connect;write fd110101;until fd11 5000;wait 3000;write fd440101000005000000000000;wait 1000;write fd440101000006000000000000;wait 1000;write fd440101000007000000000000;wait 1000;write fd440101000008000000000000;wait 1000;write fd440101000009000000000000;wait 1000;write fd44010100000a000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd440101000a00000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;wait 5000;write fd000101;until fd00 5000;status
09-15 18:21:41.776 I/RyzeBridge(11673): STATE already connected
09-15 18:21:41.779 I/RyzeBridge(11673): TX 33F1 fd110101
09-15 18:21:42.294 I/RyzeBridge(11673): RX 33F2 fd110101
09-15 18:21:42.294 I/RyzeBridge(11673): UNTIL fd11 ok
09-15 18:21:45.097 I/RyzeBridge(11673): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-15 18:21:45.301 I/RyzeBridge(11673): TX 33F1 fd440101000005000000000000
09-15 18:21:45.368 I/RyzeBridge(11673): RX 33F2 fd440101000005000000000000
09-15 18:21:46.373 I/RyzeBridge(11673): TX 33F1 fd440101000006000000000000
09-15 18:21:46.447 I/RyzeBridge(11673): RX 33F2 fd440101000006000000000000
09-15 18:21:47.453 I/RyzeBridge(11673): TX 33F1 fd440101000007000000000000
09-15 18:21:47.498 I/RyzeBridge(11673): RX 33F2 fd440101000007000000000000
09-15 18:21:48.503 I/RyzeBridge(11673): TX 33F1 fd440101000008000000000000
09-15 18:21:48.547 I/RyzeBridge(11673): RX 33F2 fd440101000008000000000000
09-15 18:21:49.553 I/RyzeBridge(11673): TX 33F1 fd440101000009000000000000
09-15 18:21:49.598 I/RyzeBridge(11673): RX 33F2 fd440101000009000000000000
09-15 18:21:49.988 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:21:50.601 I/RyzeBridge(11673): TX 33F1 fd44010100000a000000000000
09-15 18:21:50.643 I/RyzeBridge(11673): RX 33F2 fd44010100000a000000000000
09-15 18:21:51.650 I/RyzeBridge(11673): TX 33F1 fd440101000a00000000000000
09-15 18:21:51.698 I/RyzeBridge(11673): RX 33F2 fd440101000a00000000000000
09-15 18:21:52.703 I/RyzeBridge(11673): TX 33F1 fd440101000a00000000000000
09-15 18:21:52.747 I/RyzeBridge(11673): RX 33F2 fd440101000a00000000000000
09-15 18:21:52.958 I/RyzeBridge(11673): RX 33F2 fd01690000000000000000000000
09-15 18:21:53.755 I/RyzeBridge(11673): TX 33F1 fd440101000a00000000000000
09-15 18:21:53.798 I/RyzeBridge(11673): RX 33F2 fd440101000a00000000000000
09-15 18:21:54.802 I/RyzeBridge(11673): TX 33F1 fd440101000a00000000000000
09-15 18:21:54.847 I/RyzeBridge(11673): RX 33F2 fd440101000a00000000000000
09-15 18:21:55.852 I/RyzeBridge(11673): TX 33F1 fd440101000a00000000000000
09-15 18:21:55.898 I/RyzeBridge(11673): RX 33F2 fd440101000a00000000000000
09-15 18:21:56.904 I/RyzeBridge(11673): TX 33F1 fd44010100001e000000000000
09-15 18:21:56.947 I/RyzeBridge(11673): RX 33F2 fd44010100001e000000000000
09-15 18:21:57.953 I/RyzeBridge(11673): TX 33F1 fd44010100001e000000000000
09-15 18:21:57.998 I/RyzeBridge(11673): RX 33F2 fd44010100001e000000000000
09-15 18:21:59.004 I/RyzeBridge(11673): TX 33F1 fd44010100001e000000000000
09-15 18:21:59.079 I/RyzeBridge(11673): RX 33F2 fd44010100001e000000000000
09-15 18:22:00.008 I/RyzeBridge(11673): RX 33F2 fd016b0000000000000000000000
09-15 18:22:00.084 I/RyzeBridge(11673): TX 33F1 fd44010100001e000000000000
09-15 18:22:00.128 I/RyzeBridge(11673): RX 33F2 fd44010100001e000000000000
09-15 18:22:04.958 I/RyzeBridge(11673): RX 33F2 fd016c0000000000000000000000
09-15 18:22:05.976 I/RyzeBridge(11673): RX 33F2 fd016e0000000000000000000000
09-15 18:22:06.134 I/RyzeBridge(11673): TX 33F1 fd000101
09-15 18:22:06.188 I/RyzeBridge(11673): RX 33F2 fd000101
09-15 18:22:06.188 I/RyzeBridge(11673): UNTIL fd00 ok
09-15 18:22:06.188 I/RyzeBridge(11673): STATUS connected=true mtu=247
09-15 18:22:06.189 I/RyzeBridge(11673): DONE
