09-15 18:22:35.448 I/RyzeBridge(11673): SCRIPT connect;write fdfa;until fdfd 25000;status
09-15 18:22:35.448 I/RyzeBridge(11673): STATE already connected
09-15 18:22:35.454 I/RyzeBridge(11673): TX 33F1 fdfa
09-15 18:22:36.240 I/RyzeBridge(11673): RX 33F2 fdfa000000000000001c
09-15 18:22:36.242 I/RyzeBridge(11673): RX 33F2 fd00000700f207e7050f0311196a99676c00097b
09-15 18:22:36.245 I/RyzeBridge(11673): RX 33F2 fd0001000000000000030000578750000001
09-15 18:22:36.246 I/RyzeBridge(11673): RX 33F2 fd00025354565e5b585858596367645a55565859
09-15 18:22:36.246 I/RyzeBridge(11673): RX 33F2 fd0003585454565956575957585a5a6063635a58
09-15 18:22:36.247 I/RyzeBridge(11673): RX 33F2 fd0004565653575757585756545a58595b67666c
09-15 18:22:36.548 I/RyzeBridge(11673): RX 33F2 fd0005685c5b5554555757565654555252575955
09-15 18:22:36.550 I/RyzeBridge(11673): RX 33F2 fd00065555535758585857585e5f56565b545455
09-15 18:22:36.551 I/RyzeBridge(11673): RX 33F2 fd0007585a575653535356545255565c5a585654
09-15 18:22:36.553 I/RyzeBridge(11673): RX 33F2 fd00085757545453535254545659555558545456
09-15 18:22:36.554 I/RyzeBridge(11673): RX 33F2 fd0009575858515255555556575b5b63585a5764
09-15 18:22:36.554 I/RyzeBridge(11673): RX 33F2 fd000a5e5c5a5a555458595859575757545456
09-15 18:22:36.555 I/RyzeBridge(11673): RX 33F2 fdfd1d
09-15 18:22:36.555 I/RyzeBridge(11673): UNTIL fdfd ok
09-15 18:22:36.555 I/RyzeBridge(11673): STATUS connected=true mtu=247
09-15 18:22:36.556 I/RyzeBridge(11673): DONE
