09-15 18:23:06.611 I/RyzeBridge(11673): SCRIPT connect;write fd110101;until fd11 5000;wait 2000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd000101;until fd00 5000;status
09-15 18:23:06.611 I/RyzeBridge(11673): STATE already connected
09-15 18:23:06.614 I/RyzeBridge(11673): TX 33F1 fd110101
09-15 18:23:07.861 I/RyzeBridge(11673): RX 33F2 fd110101
09-15 18:23:07.862 I/RyzeBridge(11673): UNTIL fd11 ok
09-15 18:23:09.868 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:10.340 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:11.345 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:11.890 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:12.199 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:23:12.849 I/RyzeBridge(11673): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-15 18:23:12.895 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:12.939 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:13.947 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:13.990 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:14.995 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:15.040 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:16.044 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:16.087 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:16.960 I/RyzeBridge(11673): RX 33F2 fd01650000000000000000000000
09-15 18:23:17.092 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:17.139 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:17.980 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:23:18.144 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:18.190 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:18.970 I/RyzeBridge(11673): RX 33F2 fd01640000000000000000000000
09-15 18:23:19.196 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:19.239 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:19.990 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:23:20.245 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:20.290 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:20.980 I/RyzeBridge(11673): RX 33F2 fd01650000000000000000000000
09-15 18:23:21.296 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:21.340 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:21.970 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:23:22.347 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:22.390 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:22.960 I/RyzeBridge(11673): RX 33F2 fd01690000000000000000000000
09-15 18:23:23.395 I/RyzeBridge(11673): TX 33F1 fd000101
09-15 18:23:23.439 I/RyzeBridge(11673): RX 33F2 fd000101
09-15 18:23:23.440 I/RyzeBridge(11673): UNTIL fd00 ok
09-15 18:23:23.440 I/RyzeBridge(11673): STATUS connected=true mtu=247
09-15 18:23:23.440 I/RyzeBridge(11673): DONE
