09-15 18:23:38.419 I/RyzeBridge(11673): SCRIPT connect;write fd110101;until fd11 5000;wait 2000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;write fd440101003737000000000000;wait 1000;wait 9000;write fd000101;until fd00 5000;status
09-15 18:23:38.420 I/RyzeBridge(11673): STATE already connected
09-15 18:23:38.423 I/RyzeBridge(11673): TX 33F1 fd110101
09-15 18:23:39.169 I/RyzeBridge(11673): RX 33F2 fd110101
09-15 18:23:39.170 I/RyzeBridge(11673): UNTIL fd11 ok
09-15 18:23:41.176 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:41.980 I/RyzeBridge(11673): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-15 18:23:41.981 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:42.971 I/RyzeBridge(11673): RX 33F2 fd016d0000000000000000000000
09-15 18:23:42.985 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:43.031 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:44.036 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:44.080 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:45.085 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:45.130 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:46.136 I/RyzeBridge(11673): TX 33F1 fd440101003737000000000000
09-15 18:23:46.179 I/RyzeBridge(11673): RX 33F2 fd440101003737000000000000
09-15 18:23:46.961 I/RyzeBridge(11673): RX 33F2 fd01700000000000000000000000
09-15 18:23:50.982 I/RyzeBridge(11673): RX 33F2 fd01720000000000000000000000
09-15 18:23:51.971 I/RyzeBridge(11673): RX 33F2 fd01730000000000000000000000
09-15 18:23:52.991 I/RyzeBridge(11673): RX 33F2 fd01740000000000000000000000
09-15 18:23:56.184 I/RyzeBridge(11673): TX 33F1 fd000101
09-15 18:23:56.232 I/RyzeBridge(11673): RX 33F2 fd000101
09-15 18:23:56.232 I/RyzeBridge(11673): UNTIL fd00 ok
09-15 18:23:56.233 I/RyzeBridge(11673): STATUS connected=true mtu=247
09-15 18:23:56.233 I/RyzeBridge(11673): DONE
