09-15 18:33:48.063 I/RyzeBridge(11673): SCRIPT connect;write fd110101;until fd11 5000;wait 2000;write fd440101000005000000000000;wait 1000;write fd440101000006000000000000;wait 1000;write fd440101000007000000000000;wait 1000;write fd440101000008000000000000;wait 1000;write fd440101000009000000000000;wait 1000;write fd44010100000a000000000000;wait 1000;write fd44010100000b000000000000;wait 1000;write fd44010100000c000000000000;wait 1000;write fd44010100000d000000000000;wait 1000;write fd44010100000e000000000000;wait 1000;write fd44010100000f000000000000;wait 1000;write fd440101000010000000000000;wait 1000;write fd440101000011000000000000;wait 1000;write fd440101000012000000000000;wait 1000;write fd440101000013000000000000;wait 1000;write fd440101000014000000000000;wait 1000;write fd440101000015000000000000;wait 1000;write fd440101000016000000000000;wait 1000;write fd440101000017000000000000;wait 1000;write fd440101000018000000000000;wait 1000;write fd440101000019000000000000;wait 1000;write fd44010100001a000000000000;wait 1000;write fd44010100001b000000000000;wait 1000;write fd44010100001c000000000000;wait 1000;write fd44010100001d000000000000;wait 1000;write fd44010100001e000000000000;wait 1000;write fd44010100001f000000000000;wait 1000;write fd440101000020000000000000;wait 1000;write fd440101000021000000000000;wait 1000;write fd440101000022000000000000;wait 1000;write fd440101000023000000000000;wait 1000;write fd440101000024000000000000;wait 1000;write fd440101000025000000000000;wait 1000;write fd440101000026000000000000;wait 1000;write fd440101000027000000000000;wait 1000;write fd440101000028000000000000;wait 1000;write fd440101000029000000000000;wait 1000;write fd44010100002a000000000000;wait 1000;write fd44010100002b000000000000;wait 1000;write fd44010100002c000000000000;wait 1000;wait 40000;write fd000101;until fd00 6000;status
09-15 18:33:48.064 I/RyzeBridge(11673): STATE already connected
09-15 18:33:48.067 I/RyzeBridge(11673): TX 33F1 fd110101
09-15 18:33:48.636 I/RyzeBridge(11673): RX 33F2 fd110101
09-15 18:33:48.636 I/RyzeBridge(11673): UNTIL fd11 ok
09-15 18:33:50.642 I/RyzeBridge(11673): TX 33F1 fd440101000005000000000000
09-15 18:33:51.438 I/RyzeBridge(11673): CONNPARAMS interval=24 latency=0 timeout=500 status=0
09-15 18:33:51.440 I/RyzeBridge(11673): RX 33F2 fd440101000005000000000000
09-15 18:33:52.444 I/RyzeBridge(11673): TX 33F1 fd440101000006000000000000
09-15 18:33:52.518 I/RyzeBridge(11673): RX 33F2 fd440101000006000000000000
09-15 18:33:52.967 I/RyzeBridge(11673): RX 33F2 fd01000000000000000000000000
09-15 18:33:53.523 I/RyzeBridge(11673): TX 33F1 fd440101000007000000000000
09-15 18:33:53.568 I/RyzeBridge(11673): RX 33F2 fd440101000007000000000000
09-15 18:33:54.573 I/RyzeBridge(11673): TX 33F1 fd440101000008000000000000
09-15 18:33:54.618 I/RyzeBridge(11673): RX 33F2 fd440101000008000000000000
09-15 18:33:55.624 I/RyzeBridge(11673): TX 33F1 fd440101000009000000000000
09-15 18:33:55.669 I/RyzeBridge(11673): RX 33F2 fd440101000009000000000000
09-15 18:33:56.673 I/RyzeBridge(11673): TX 33F1 fd44010100000a000000000000
09-15 18:33:56.719 I/RyzeBridge(11673): RX 33F2 fd44010100000a000000000000
09-15 18:33:57.724 I/RyzeBridge(11673): TX 33F1 fd44010100000b000000000000
09-15 18:33:57.768 I/RyzeBridge(11673): RX 33F2 fd44010100000b000000000000
09-15 18:33:58.775 I/RyzeBridge(11673): TX 33F1 fd44010100000c000000000000
09-15 18:33:58.818 I/RyzeBridge(11673): RX 33F2 fd44010100000c000000000000
09-15 18:33:59.824 I/RyzeBridge(11673): TX 33F1 fd44010100000d000000000000
09-15 18:33:59.867 I/RyzeBridge(11673): RX 33F2 fd44010100000d000000000000
09-15 18:34:00.873 I/RyzeBridge(11673): TX 33F1 fd44010100000e000000000000
09-15 18:34:00.919 I/RyzeBridge(11673): RX 33F2 fd44010100000e000000000000
09-15 18:34:01.924 I/RyzeBridge(11673): TX 33F1 fd44010100000f000000000000
09-15 18:34:01.967 I/RyzeBridge(11673): RX 33F2 fd44010100000f000000000000
09-15 18:34:02.972 I/RyzeBridge(11673): TX 33F1 fd440101000010000000000000
09-15 18:34:03.018 I/RyzeBridge(11673): RX 33F2 fd440101000010000000000000
09-15 18:34:04.023 I/RyzeBridge(11673): TX 33F1 fd440101000011000000000000
09-15 18:34:04.067 I/RyzeBridge(11673): RX 33F2 fd440101000011000000000000
09-15 18:34:04.969 I/RyzeBridge(11673): RX 33F2 fd01650000000000000000000000
09-15 18:34:05.073 I/RyzeBridge(11673): TX 33F1 fd440101000012000000000000
09-15 18:34:05.118 I/RyzeBridge(11673): RX 33F2 fd440101000012000000000000
09-15 18:34:06.124 I/RyzeBridge(11673): TX 33F1 fd440101000013000000000000
09-15 18:34:06.168 I/RyzeBridge(11673): RX 33F2 fd440101000013000000000000
09-15 18:34:06.979 I/RyzeBridge(11673): RX 33F2 fd01670000000000000000000000
09-15 18:34:07.173 I/RyzeBridge(11673): TX 33F1 fd440101000014000000000000
09-15 18:34:07.219 I/RyzeBridge(11673): RX 33F2 fd440101000014000000000000
09-15 18:34:08.224 I/RyzeBridge(11673): TX 33F1 fd440101000015000000000000
09-15 18:34:08.267 I/RyzeBridge(11673): RX 33F2 fd440101000015000000000000
09-15 18:34:08.959 I/RyzeBridge(11673): RX 33F2 fd01680000000000000000000000
09-15 18:34:09.273 I/RyzeBridge(11673): TX 33F1 fd440101000016000000000000
09-15 18:34:09.319 I/RyzeBridge(11673): RX 33F2 fd440101000016000000000000
09-15 18:34:10.039 I/RyzeBridge(11673): RX 33F2 fd01690000000000000000000000
09-15 18:34:10.326 I/RyzeBridge(11673): TX 33F1 fd440101000017000000000000
09-15 18:34:10.398 I/RyzeBridge(11673): RX 33F2 fd440101000017000000000000
09-15 18:34:11.404 I/RyzeBridge(11673): TX 33F1 fd440101000018000000000000
09-15 18:34:11.447 I/RyzeBridge(11673): RX 33F2 fd440101000018000000000000
09-15 18:34:11.959 I/RyzeBridge(11673): RX 33F2 fd016b0000000000000000000000
09-15 18:34:12.453 I/RyzeBridge(11673): TX 33F1 fd440101000019000000000000
09-15 18:34:12.499 I/RyzeBridge(11673): RX 33F2 fd440101000019000000000000
09-15 18:34:12.977 I/RyzeBridge(11673): RX 33F2 fd016c0000000000000000000000
09-15 18:34:13.504 I/RyzeBridge(11673): TX 33F1 fd44010100001a000000000000
09-15 18:34:13.549 I/RyzeBridge(11673): RX 33F2 fd44010100001a000000000000
09-15 18:34:13.969 I/RyzeBridge(11673): RX 33F2 fd016f0000000000000000000000
09-15 18:34:14.554 I/RyzeBridge(11673): TX 33F1 fd44010100001b000000000000
09-15 18:34:14.599 I/RyzeBridge(11673): RX 33F2 fd44010100001b000000000000
09-15 18:34:14.959 I/RyzeBridge(11673): RX 33F2 fd01710000000000000000000000
09-15 18:34:15.604 I/RyzeBridge(11673): TX 33F1 fd44010100001c000000000000
09-15 18:34:15.679 I/RyzeBridge(11673): RX 33F2 fd44010100001c000000000000
09-15 18:34:15.979 I/RyzeBridge(11673): RX 33F2 fd01730000000000000000000000
09-15 18:34:16.653 I/RyzeBridge(11673): TX 33F1 fd44010100001d000000000000
09-15 18:34:16.699 I/RyzeBridge(11673): RX 33F2 fd44010100001d000000000000
09-15 18:34:16.969 I/RyzeBridge(11673): RX 33F2 fd01750000000000000000000000
09-15 18:34:17.705 I/RyzeBridge(11673): TX 33F1 fd44010100001e000000000000
09-15 18:34:17.747 I/RyzeBridge(11673): RX 33F2 fd44010100001e000000000000
09-15 18:34:17.959 I/RyzeBridge(11673): RX 33F2 fd01760000000000000000000000
09-15 18:34:18.752 I/RyzeBridge(11673): TX 33F1 fd44010100001f000000000000
09-15 18:34:18.797 I/RyzeBridge(11673): RX 33F2 fd44010100001f000000000000
09-15 18:34:18.979 I/RyzeBridge(11673): RX 33F2 fd01770000000000000000000000
09-15 18:34:19.802 I/RyzeBridge(11673): TX 33F1 fd440101000020000000000000
09-15 18:34:19.848 I/RyzeBridge(11673): RX 33F2 fd440101000020000000000000
09-15 18:34:20.853 I/RyzeBridge(11673): TX 33F1 fd440101000021000000000000
09-15 18:34:20.899 I/RyzeBridge(11673): RX 33F2 fd440101000021000000000000
09-15 18:34:21.904 I/RyzeBridge(11673): TX 33F1 fd440101000022000000000000
09-15 18:34:21.948 I/RyzeBridge(11673): RX 33F2 fd440101000022000000000000
09-15 18:34:22.953 I/RyzeBridge(11673): TX 33F1 fd440101000023000000000000
09-15 18:34:22.999 I/RyzeBridge(11673): RX 33F2 fd440101000023000000000000
09-15 18:34:24.005 I/RyzeBridge(11673): TX 33F1 fd440101000024000000000000
09-15 18:34:24.048 I/RyzeBridge(11673): RX 33F2 fd440101000024000000000000
09-15 18:34:25.053 I/RyzeBridge(11673): TX 33F1 fd440101000025000000000000
09-15 18:34:25.099 I/RyzeBridge(11673): RX 33F2 fd440101000025000000000000
09-15 18:34:25.969 I/RyzeBridge(11673): RX 33F2 fd017a0000000000000000000000
09-15 18:34:26.106 I/RyzeBridge(11673): TX 33F1 fd440101000026000000000000
09-15 18:34:26.179 I/RyzeBridge(11673): RX 33F2 fd440101000026000000000000
09-15 18:34:27.183 I/RyzeBridge(11673): TX 33F1 fd440101000027000000000000
09-15 18:34:27.230 I/RyzeBridge(11673): RX 33F2 fd440101000027000000000000
09-15 18:34:28.234 I/RyzeBridge(11673): TX 33F1 fd440101000028000000000000
09-15 18:34:28.279 I/RyzeBridge(11673): RX 33F2 fd440101000028000000000000
09-15 18:34:29.284 I/RyzeBridge(11673): TX 33F1 fd440101000029000000000000
09-15 18:34:29.359 I/RyzeBridge(11673): RX 33F2 fd440101000029000000000000
09-15 18:34:30.335 I/RyzeBridge(11673): TX 33F1 fd44010100002a000000000000
09-15 18:34:30.410 I/RyzeBridge(11673): RX 33F2 fd44010100002a000000000000
09-15 18:34:31.384 I/RyzeBridge(11673): TX 33F1 fd44010100002b000000000000
09-15 18:34:31.429 I/RyzeBridge(11673): RX 33F2 fd44010100002b000000000000
09-15 18:34:32.435 I/RyzeBridge(11673): TX 33F1 fd44010100002c000000000000
09-15 18:34:32.479 I/RyzeBridge(11673): RX 33F2 fd44010100002c000000000000
09-15 18:34:42.888 I/RyzeBridge(11673): CONNPARAMS interval=248 latency=0 timeout=500 status=0
09-15 18:35:13.486 I/RyzeBridge(11673): TX 33F1 fd000101
09-15 18:35:13.892 I/RyzeBridge(11673): RX 33F2 fd000101
09-15 18:35:13.893 I/RyzeBridge(11673): UNTIL fd00 ok
