--------- beginning of main
09-04 19:51:15.852 I/RyzeBridge(20280): SCRIPT connect;write 3403010005;until 3403 4000;status
09-04 19:51:15.852 I/RyzeBridge(20280): STATE already connected
09-04 19:51:15.856 I/RyzeBridge(20280): TX 33F1 3403010005
09-04 19:51:16.407 I/RyzeBridge(20280): RX 33F2 3403010005
09-04 19:51:16.407 I/RyzeBridge(20280): UNTIL 3403 ok
09-04 19:51:16.407 I/RyzeBridge(20280): STATUS connected=true mtu=247
09-04 19:51:16.407 I/RyzeBridge(20280): DONE
09-04 19:51:18.938 I/RyzeBridge(20280): CONNPARAMS interval=27 latency=0 timeout=500 status=0
09-04 19:51:26.609 I/RyzeBridge(20280): CONNPARAMS interval=252 latency=0 timeout=500 status=0
09-04 19:52:57.342 I/RyzeBridge(20280): RX 33F2 a307ea0904133438
09-04 19:52:57.961 I/RyzeBridge(20280): RX 33F2 440f0001000456503630
09-04 19:52:58.590 I/RyzeBridge(20280): RX 33F2 a1524832383052474156303038393439
09-04 19:52:59.221 I/RyzeBridge(20280): RX 34F2 380152797a6520576176652849442d393145352900007802b73791e5010101
09-04 19:52:59.873 I/RyzeBridge(20280): CONNPARAMS interval=36 latency=0 timeout=500 status=0
09-04 19:52:59.915 I/RyzeBridge(20280): RX 33F2 bb01
09-04 19:53:00.009 I/RyzeBridge(20280): RX 33F2 2601ffffffff01d201d200001000000201000000
09-04 19:53:00.098 I/RyzeBridge(20280): RX 33F2 be019a6100000000000000000000000000000000
09-04 19:53:00.185 I/RyzeBridge(20280): RX 33F2 be02465000000000000000000000000000000000
09-04 19:53:00.319 I/RyzeBridge(20280): RX 33F2 a9
09-04 19:53:00.410 I/RyzeBridge(20280): RX 33F2 a24d
09-04 19:53:00.501 I/RyzeBridge(20280): RX 33F2 dbaa000000000000000000000000000001ffffff
09-04 19:53:00.815 I/RyzeBridge(20280): RX 33F2 b207ea09031400840000000000062a010084
09-04 19:53:00.907 I/RyzeBridge(20280): RX 33F2 b207ea09031500210000000000303a000021
09-04 19:53:00.950 I/RyzeBridge(20280): RX 33F2 b207ea090316007200000000001630000072
09-04 19:53:00.995 I/RyzeBridge(20280): RX 33F2 b207ea090317007700000000000522000077
09-04 19:53:01.085 I/RyzeBridge(20280): RX 33F2 b207ea090402003e0000000000081500003e
09-04 19:53:01.130 I/RyzeBridge(20280): RX 33F2 b207ea090409010800000000000d31030108
09-04 19:53:01.175 I/RyzeBridge(20280): RX 33F2 b207ea09040c007100000000002a2e000071
09-04 19:53:01.265 I/RyzeBridge(20280): RX 33F2 b207ea09040d022c00000000000f2e07022c
09-04 19:53:01.309 I/RyzeBridge(20280): RX 33F2 b207ea09040e00ed00000000000d370100ed
09-04 19:53:01.354 I/RyzeBridge(20280): RX 33F2 b207ea09040f00500000000000283b000050
09-04 19:53:01.445 I/RyzeBridge(20280): RX 33F2 b207ea09041000c000000000000b110200c0
09-04 19:53:01.490 I/RyzeBridge(20280): RX 33F2 b207ea09041101a00000000000071d0301a0
09-04 19:53:01.534 I/RyzeBridge(20280): RX 33F2 b207ea090413002400000000001332000024
09-04 19:53:01.854 I/RyzeBridge(20280): RX 33F2 b2fdd7
09-04 19:53:02.029 I/RyzeBridge(20280): RX 33F2 310107ea09041e
09-04 19:53:02.033 I/RyzeBridge(20280): RX 34F2 32173a0101001700150201001e00330401000400370201001501100301000101110201000301140401000501190201002b02080301000102090201000a021303010006021902010003021c0401000502210201001702380401000503010201001103120401000203140201002c04040101001e042202010038051e0401000905270201003e062903010001062a02010001062b01010002062d04010005063202010030072604010003072901010013080004010008
09-04 19:53:02.075 I/RyzeBridge(20280): RX 33F2 3102
09-04 19:53:02.302 I/RyzeBridge(20280): RX 33F2 f707ea090314ffffffffffffffffffffff56
09-04 19:53:02.346 I/RyzeBridge(20280): RX 33F2 f707ea09031654596f929564776c5e6566ff
09-04 19:53:02.435 I/RyzeBridge(20280): RX 33F2 f707ea090400ff5957595751575855504f47
09-04 19:53:02.528 I/RyzeBridge(20280): RX 33F2 f707ea09040246474a534c48494847474440
09-04 19:53:02.570 I/RyzeBridge(20280): RX 33F2 f707ea09040441463d3e3d413a44413c423f
09-04 19:53:02.660 I/RyzeBridge(20280): RX 33F2 f707ea090406403d413b3e3f423e333f3a41
09-04 19:53:02.705 I/RyzeBridge(20280): RX 33F2 f707ea0904083d383c3a3e41423e3e3f4543
09-04 19:53:02.796 I/RyzeBridge(20280): RX 33F2 f707ea09040a414448483f42586f50545554
09-04 19:53:02.839 I/RyzeBridge(20280): RX 33F2 f707ea09040effffff585a576d6e56535554
09-04 19:53:02.931 I/RyzeBridge(20280): RX 33F2 f707ea0904105f51545955596161665e625b
09-04 19:53:02.975 I/RyzeBridge(20280): RX 33F2 f707ea090412789a68766971736962595c59
09-04 19:53:03.066 I/RyzeBridge(20280): RX 33F2 f707ea09041460625c625cff595c5f5cffff
09-04 19:53:03.155 I/RyzeBridge(20280): RX 33F2 f7fd00
09-04 19:53:03.245 I/RyzeBridge(20280): RX 33F2 fdaa0001
09-04 19:53:03.335 I/RyzeBridge(20280): RX 33F2 fdfa07ea090400000003
09-04 19:53:03.380 I/RyzeBridge(20280): RX 33F2 fd000001001207ea09040f21146a9a74fd0000bf
09-04 19:53:03.469 I/RyzeBridge(20280): RX 33F2 fd00010001500000000d000c6e7865192801
09-04 19:53:03.516 I/RyzeBridge(20280): RX 33F2 fd0002666867757777787474766b6b6b6d696c65
09-04 19:53:03.604 I/RyzeBridge(20280): RX 33F2 fd000376
09-04 19:53:03.649 I/RyzeBridge(20280): RX 33F2 fdfd1e
09-04 19:53:03.740 I/RyzeBridge(20280): RX 33F2 fd000001005a07ea09041011066a9a8215000384
09-04 19:53:03.786 I/RyzeBridge(20280): RX 33F2 fd00010007cf0000000100018fa071000001
09-04 19:53:03.831 I/RyzeBridge(20280): RX 33F2 fd00029771777a747677787d8085979e9b969790
09-04 19:53:03.919 I/RyzeBridge(20280): RX 33F2 fd00039093939a979695938f8c8989919190908f
09-04 19:53:03.965 I/RyzeBridge(20280): RX 33F2 fd00048d9092919c9a9795918e8d949998969594
09-04 19:53:04.009 I/RyzeBridge(20280): RX 33F2 fd0005918f88898990959a9994918d959a9a9b96
09-04 19:53:04.101 I/RyzeBridge(20280): RX 33F2 fd00069893918f8b88878888898886868d919797
09-04 19:53:04.144 I/RyzeBridge(20280): RX 33F2 fd0007969697a098739998a09b9c969292908d8d
09-04 19:53:04.189 I/RyzeBridge(20280): RX 33F2 fd00088d92a39d9d9694948d868583817f7e7c7b
09-04 19:53:04.279 I/RyzeBridge(20280): RX 33F2 fd0009797a7a7a686a5d59666c616b7273787576
09-04 19:53:04.325 I/RyzeBridge(20280): RX 33F2 fd000a706f75727171737171737b77767a7c7277
09-04 19:53:04.370 I/RyzeBridge(20280): RX 33F2 fd000b73737476727172727070726e6e6c6f7170
09-04 19:53:04.460 I/RyzeBridge(20280): RX 33F2 fd000c727274706f70716e6d70
09-04 19:53:04.504 I/RyzeBridge(20280): RX 33F2 fdfdf7
09-04 19:53:04.594 I/RyzeBridge(20280): RX 33F2 fd000001013a07ea090411232f6a9a9e66000c49
09-04 19:53:04.641 I/RyzeBridge(20280): RX 33F2 fd000100008700000006000a5d6c52000001
09-04 19:53:04.730 I/RyzeBridge(20280): RX 33F2 fd00025f67636468686663626263626160606662
09-04 19:53:04.774 I/RyzeBridge(20280): RX 33F2 fd000360646461636363605c61605c5d5c60625e
09-04 19:53:04.866 I/RyzeBridge(20280): RX 33F2 fd00045f5f5f636266606262635b5b5e6064645a
09-04 19:53:04.910 I/RyzeBridge(20280): RX 33F2 fd00055e5f6b6c626364615c5a57585b5d5e6062
09-04 19:53:04.955 I/RyzeBridge(20280): RX 33F2 fd00065c5d5b5f5b5f5f5f5e5d5d5e5d5b5a5758
09-04 19:53:05.044 I/RyzeBridge(20280): RX 33F2 fd0007585b615f5d5c5a585b5b5a585c5c62625a
09-04 19:53:05.089 I/RyzeBridge(20280): RX 33F2 fd00085b5c5c5e5b5c5957575857585858595e5f
09-04 19:53:05.134 I/RyzeBridge(20280): RX 33F2 fd00095d59595a5e5b595a5e615c5e64625e6665
09-04 19:53:05.224 I/RyzeBridge(20280): RX 33F2 fd000a6264645e5c5c59595a5d575b5c5a585a61
09-04 19:53:05.269 I/RyzeBridge(20280): RX 33F2 fd000b5b5b575c5c595958585b575758585c5e59
09-04 19:53:05.362 I/RyzeBridge(20280): RX 33F2 fd000c5a5a575b595b5a595d5b685f5e62616360
09-04 19:53:05.405 I/RyzeBridge(20280): RX 33F2 fd000d5f595c5b5858595d59585b615955565756
09-04 19:53:05.449 I/RyzeBridge(20280): RX 33F2 fd000e55585959585855555a5556545763636162
09-04 19:53:05.495 I/RyzeBridge(20280): RX 33F2 fd000f5b5f615f625a5e5c595a565b5a52535757
09-04 19:53:05.586 I/RyzeBridge(20280): RX 33F2 fd001058585a5a55545656565a5e58585757565a
09-04 19:53:05.630 I/RyzeBridge(20280): RX 33F2 fd0011535256575d5d60646568636061606b6868
09-04 19:53:05.675 I/RyzeBridge(20280): RX 33F2 fd0012646261615d5a625e6162615b665f5c5e63
09-04 19:53:05.766 I/RyzeBridge(20280): RX 33F2 fd00136261625e65606261685d5f5e606362605e
09-04 19:53:05.810 I/RyzeBridge(20280): RX 33F2 fd00145e605f5d61605f5d
09-04 19:53:05.855 I/RyzeBridge(20280): RX 33F2 fdfd73
09-04 19:53:06.037 I/RyzeBridge(20280): RX 33F2 34fa07ea09031600ffff63ffffffffffffff61ff
09-04 19:53:06.126 I/RyzeBridge(20280): RX 33F2 34fa07ea09040000ffff616061616060606061ff
09-04 19:53:06.215 I/RyzeBridge(20280): RX 33F2 34fa07ea090402006060605c5c61605d61606061
09-04 19:53:06.259 I/RyzeBridge(20280): RX 33F2 34fa07ea09040400606161606160606361606162
09-04 19:53:06.351 I/RyzeBridge(20280): RX 33F2 34fa07ea090406006160616061605c615c60615c
09-04 19:53:06.395 I/RyzeBridge(20280): RX 33F2 34fa07ea090408005d6160606061636061606160
09-04 19:53:06.488 I/RyzeBridge(20280): RX 33F2 34fa07ea09040a00ff6060616161616060606260
09-04 19:53:06.576 I/RyzeBridge(20280): RX 33F2 34fa07ea09040c0060ffffffffffffffffffffff
09-04 19:53:06.619 I/RyzeBridge(20280): RX 33F2 34fa07ea09040e00ffffffff6160626161ff6261
09-04 19:53:06.711 I/RyzeBridge(20280): RX 33F2 34fa07ea09041000ff60606260ffffffffff5c61
09-04 19:53:06.757 I/RyzeBridge(20280): RX 33F2 34fa07ea0904120062ffffffffff60ff60ffffff
09-04 19:53:06.845 I/RyzeBridge(20280): RX 33F2 34fa07ea09041400ffffff6262616261606061ff
09-04 19:53:06.889 I/RyzeBridge(20280): RX 33F2 34fafd99
09-04 19:53:07.026 I/RyzeBridge(20280): RX 33F2 340301000a
09-04 19:53:07.117 I/RyzeBridge(20280): RX 33F2 3404010001173b
09-04 19:53:07.206 I/RyzeBridge(20280): RX 33F2 d301
09-04 19:53:07.295 I/RyzeBridge(20280): RX 33F2 d400
09-04 19:53:07.387 I/RyzeBridge(20280): RX 33F2 d10a00
09-04 19:53:07.475 I/RyzeBridge(20280): RX 33F2 f701
09-04 19:53:07.565 I/RyzeBridge(20280): RX 33F2 2900
