00 ..                        sendAlipayDataSegments
00 01                        sendAlipayDataFD
00 01, 00 02, 00 03, 00 04, 00 05, 3F .. sendTodayTargetCommand
01 01, B3 .., B3 FA          syncAllSleepData
24 ..                        setRawTemperatureStatus
24 ..                        syncMaxMinAlarmTemperature
24 ..                        syncTemperatureAutomaticTestInterval
24 ..                        syncTemperatureTimePeriod
24 01                        queryCurrentTemperatureData
24 05                        deleteTemperatureHistoricalData
24 07                        calibrationTemperature
24 09                        queryRawTemperatureStatus
24 FA                        syncAllTemperatureData
26 01                        readDeviceOnlineDialConfiguration
26 02                        prepareSendOnlineDialData
27 ..                        sendSectionOnlineDialData
28 ..                        sendSectionEcgHr
28 .., 28 0B                 syncEcgData
28 .., 28 0C                 syncEcgHistorySamplingData
28 0F                        syncEcgHZ
28 10                        startEcgTest
28 12                        sendEcgHrEnd
29 ..                        setPhysiologicalPeriod
33 01                        sendAccountIdSuperCmd
33 02                        sendAccountId
34 ..                        syncOxygenAutomaticTest
34 ..                        syncOxygenTimePeriod
34 00                        stopOxygenTest
34 11                        startOxygenTest
34 AA                        queryOxygenTestStatus
34 FA                        syncOxygenData
37 ..                        sendSectionContacts
37 ..                        sendSectionSosCall
37 FA                        sendContactStart
37 FC                        sendContactEnd
38 ..                        openDeviceBt3
3A .., 3A FA                 sendSongInformationToBle
3E ..                        cSBpAPPResponsePMCrcOKCommand
3E ..                        cSBpSendCalibrationCOOnSegments
3E ..                        cSBpSetPersonalInfo
3E 00                        cSBpStartCalibration
3E 01                        cSBpSendCalibrationCOFD
3E 02                        cSBpStopCalibration
3E 04                        cSBpResetCalibrateParam
3E 06                        cSBpQueryChipInfo
3F 01                        syncStandingTimeData
41 ..                        sendWashHandsRemindCommand
43 .., 43 FD                 sendTimeZoneSection
43 FB                        deleteTimeZone
44 0E                        setMoodActivationCodeTest
45 ..                        sendPhoneNumber
46 .., 46 FD                 syncCustomizeSMSSection
47 .., 47 FA                 syncGPSData
47 73                        closeGPSMode
47 73                        openGPSMode
4A ..                        syncCyweeSwimData
51 ..                        sendLabelAlarmClockSeciont
51 AA                        queryLabelAlarmClock
52 ..                        sendEndCallReplySmsStatus
52 ..                        sendSmsWhetherSuccessfully
55 ..                        sendDeviceElbpMiddleDataCrcResults
55 ..                        sendDeviceElbpPpgDataCrcResults
55 ..                        sendELBloodPressureTestCommand
55 ..                        sendELBloodPressureTestModelCommand
55 ..                        sendElbsCalibrationModelDataSegments
55 02                        sendELBloodPressureDataCommand
5B 00                        stopTestBloodSugar
